Possession Status,Availability Starts From,Floor No,Commercial,Developer,Price (Crores),Landmark,Covered Area,Society,sqft Price (INR),Carpet Area,Area,Unit of Carpet Area,Furnished Type,Bathrooms,Facing,Transaction Type,Type of Property,City,Bedrooms,Posted By,Total Floors,isPrimeLocationProperty,Unit of Covered Area,Property Lifespan,Balconies,Power Back Up,Lift,Rain Water Harvesting,Club House,Swimming Pool,Gymnasium,Park,Parking,Security,Water Storage,Private Terrace/Garden,Vaastu Compliant,Service/Goods Lift,Air Conditioned,Visitor Parking,Intercom Facility,Maintenance Staff,Waste Disposal,Laundry Service,Internet/Wi-Fi Connectivity,DTH Television Facility,RO Water System,Banquet Hall,Bar/Lounge,Cafeteria/Food Court,Conference Room,Piped Gas,Jogging and Strolling Track,Outdoor Tennis Courts,Mansion,Downtown,Skyline View,Wrap Around Balcony,Island Kitchen Layout,Full Glass Wall,House help accommodation,Concierge Services,Garden View,Marble flooring,Well Furnished,Modular Kitchen,Helipad,Private pool,Private Jaccuzi,Mini Cinema Theatre,Golf Course,Infinity Swimming Pool,Pool with temperature control,Sea facing,Skydeck,Earth quake resistant,Theme based Architectures,Health club with Steam / Jaccuzi,Large Clubhouse,Large Open space,Fingerprint Access,Grand Entrance lobby,Private Garage,Fireplace,Wine Cellar,Sky Villa,Water Front,Hilltop,Smart Home,Barbeque space,Kids play area,Library,Puja Room,Study,Servant Room,Store,Aerobics Room,Canopy Walk,Coffee Lounge & Restaurants,Dance Studio,Event Space & Amphitheatre,Flower Gardens,Guest Accommodation,Indoor Squash & Badminton Courts,Kids Play Area,Kids Play Pool With Water Slides,Library And Business Centre,Meditation Area,Multipurpose Courts,Recreational Pool,Rentable CommuniPfty Space,Retail Boulevard (Retail Shops),Cycling & Jogging Track,Fire Fighting Equipment,Aesthetically designed landscape garden,latitude,longitude,geocoded_address,Area_Broader,Balconies_was_Imputed,Covered_area_was_Imputed,Carpet_area_was_Imputed,Total_Floors_was_Imputed,Floor_No_was_Imputed,Furnished_Type_was_Imputed,Bathrooms_was_Imputed,Property_Lifespan_was_Imputed,Facing_was_Imputed,Developer_was_Imputed
Ready to Move,Immediately,20.0,Y,Tata Housing Development Company Ltd.,0.63,Rajoli naka,763.5719430449224,Tata Amantra,8250.696031178504,579.0,Kalyan West,Sq-ft,Unfurnished,2.0,East,New Property,Apartment,Thane,2,Agent,34.0,Y,Sq-ft,New construction,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,1,0,0,0,0,0,0,0,0,0
Ready to Move,Immediately,18.0,N,Sai Satyam Developers,0.54,This property has reputed scholl ints vicinity.,850.0,Sai Satyam Homes,6352.0,585.0,Kalyan West,Sq-ft,Unfurnished,2.0,East,New Property,Apartment,Thane,2,Agent,18.0,Y,Sq-ft,New construction,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,1,0,0,0,0,0,0,0,0,0
Under Construction,Dec 25,5.0,N,Birla Estates,0.9,Shahad is one of the attractive locations to own a home,1050.0,Birla Vanya,8571.0,815.0,Kalyan West,Sq-ft,Unfurnished,2.0,East,New Property,Apartment,Thane,2,Agent,27.0,Y,Sq-ft,Unknown,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,0,0,0,0,0,0,0,1,0,0
Ready to Move,Immediately,8.0,Y,Godrej Properties,0.495,Majiwada metro station,561.0,Godrej Nirvaan,8824.0,419.0,Kalyan West,Sq-ft,Semi-Furnished,2.0,East,New Property,Apartment,Thane,1,Agent,26.0,Y,Sq-ft,Unknown,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,1,0,0,0,0,0,0,1,0,0
Ready to Move,Immediately,16.0,N,Tycoons Group,0.657,"Close to tree house school, dmart, kdmc garden, spring time club.",1067.0,Tycoons Solitaire Sapphire,6157.0,667.0,Kalyan West,Sq-ft,Unfurnished,2.0,North-East,New Property,Apartment,Thane,2,Agent,18.0,Y,Sq-ft,Unknown,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,0,0,0,0,0,0,0,1,0,0
Under Construction,Dec 25,16.0,N,Godrej Properties,0.3449,Within 4 mins from 2 stations shahad and ambivali within 12 mins,592.0,Godrej Riviera,5826.0,370.0,Kalyan West,Sq-ft,Unfurnished,1.0,North-East,New Property,Apartment,Thane,1,Agent,22.0,Y,Sq-ft,Unknown,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,0,0,0,0,0,0,0,1,0,0
Ready to Move,Immediately,9.0,Y,Tharwani Infrastructures,0.49,Kalyan west,595.0,Rosalie,8235.0,426.0842155565358,Kalyan West,Sq-ft,Unfurnished,1.0,North-East,New Property,Apartment,Thane,1,Agent,19.0,Y,Sq-ft,New construction,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,1,0,1,0,0,0,0,0,0,0
Ready to Move,Immediately,16.0,N,Gurukrupa Group,0.47,Near yogi dam,695.0,Guru Atman,6763.0,462.0,Kalyan West,Sq-ft,Unfurnished,1.0,North-West,Resale,Apartment,Thane,1,Agent,18.0,Y,Sq-ft,Less than 5 years,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,0,0,0,0,0,0,0,0,0,0
Ready to Move,Immediately,9.0,N,Gurukrupa Group,0.7,Atm 500mdmart 500mbank    500m school 500m.,960.0,Guru Atman,7292.0,650.0,Kalyan West,Sq-ft,Unfurnished,2.0,North-East,Resale,Apartment,Thane,2,Agent,23.0,Y,Sq-ft,Unknown,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,0,0,0,0,0,0,0,1,0,0
Ready to Move,Immediately,9.0,N,Rutu Group,0.7,Agrawal college,1010.0,Riverview Classic,6930.0,761.0,Kalyan West,Sq-ft,Unfurnished,2.0,North-East,New Property,Apartment,Thane,2,Agent,15.0,Y,Sq-ft,Unknown,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.240353,73.1252789,"Kalyan West, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, 421306, India",Kalyan West,0,0,0,0,0,0,0,1,0,0
